Team Name,Team Number,tb1,tb2,autoYellowPointsIndividual,autoPurplePointsIndividual,autoPixelPoints,autoNavPointsIndividual,autoPoints,dcPoints,egDronePointsIndividual,egNavPointsIndividual,egPoints,totalPointsNp
Operation T.A.C.,14295,47.4,33,14.666666666666666,18.666666666666668,5.533333333333334,5.0,43.86666666666667,12.266666666666666,5.333333333333333,16.0,21.333333333333332,68.26666666666667
Bot Bot,22740,30.4,44,4.0,10.666666666666666,3.266666666666667,3.3333333333333335,21.266666666666666,26.333333333333332,10.0,7.666666666666667,17.666666666666668,45.51666666666667
WHS Robotics,542,38,33,4.0,2.6666666666666665,2.4666666666666663,1.6666666666666667,10.799999999999999,15.0,4.666666666666667,2.6666666666666665,7.333333333333334,21.883333333333333
Alpha Genesis,6436,61.2,50,6.666666666666667,14.666666666666666,4.0,3.0,28.333333333333332,30.599999999999998,6.0,13.666666666666666,19.666666666666664,55.65
Qualia Robotics,19900,36,20,4.0,4.0,3.6666666666666665,1.3333333333333333,13.0,26.866666666666664,1.3333333333333333,8.333333333333334,9.666666666666668,29.383333333333333
Brain Stormz,10298,32.4,44,4.0,12.0,2.9333333333333336,2.6666666666666665,21.6,22.333333333333332,9.333333333333334,17.0,26.333333333333336,53.51666666666667
NerdHerd Insomniacs,51,48.6,40,1.3333333333333333,6.666666666666667,2.1999999999999997,1.6666666666666667,11.866666666666665,18.866666666666667,6.666666666666667,7.333333333333333,14.0,30.583333333333336
VolTech,19510,19.6,8,0.0,5.333333333333333,2.6,4.0,11.933333333333332,8.6,1.3333333333333333,4.666666666666667,6.0,20.08333333333333
RGB 359,14863,32.2,43,4.0,13.333333333333334,4.6000000000000005,4.0,25.933333333333337,17.333333333333332,5.333333333333333,2.6666666666666665,8.0,38.26666666666667
WEBB.exe,359,45.6,31,3.3333333333333335,12.666666666666666,3.0666666666666664,3.6666666666666665,22.733333333333334,40.4,7.333333333333333,11.666666666666666,19.0,51.833333333333336
LeXT -- Pineapple Something,20824,26,30,8.0,13.333333333333334,4.8,4.666666666666667,30.800000000000004,30.266666666666666,2.6666666666666665,13.333333333333334,16.0,54.366666666666674
Simi Valley Robotics,6282,48.6,38,2.6666666666666665,17.333333333333332,3.466666666666667,4.333333333333333,27.799999999999997,15.199999999999998,5.333333333333333,12.666666666666666,18.0,49.599999999999994
Hermit Social LClub,12675,33,26,2.6666666666666665,5.333333333333333,2.066666666666667,0.3333333333333333,10.4,21.53333333333333,3.3333333333333335,5.333333333333333,8.666666666666666,24.45
STEAMPunks Bravo,13277,15.6,11,0.0,0.0,1.6000000000000003,1.3333333333333333,2.9333333333333336,6.666666666666667,0.6666666666666666,4.0,4.666666666666667,9.266666666666667
Curiosity,11770,18.6,32,1.3333333333333333,2.6666666666666665,2.8000000000000003,1.6666666666666667,8.466666666666667,18.133333333333336,5.333333333333333,15.333333333333334,20.666666666666668,33.666666666666664
Javabots,5218,36,30,2.6666666666666665,11.333333333333334,3.266666666666667,2.0,19.266666666666666,7.133333333333333,0.0,7.333333333333333,7.333333333333333,28.383333333333333
Rock N' Roll Robots,25,33.6,44,0.0,10.0,2.3333333333333335,4.0,16.333333333333332,11.266666666666666,5.333333333333333,9.666666666666666,15.0,34.15
