Team Name,Team Number,tb1,tb2,autoYellowPointsIndividual,autoPurplePointsIndividual,autoPixelPoints,autoNavPointsIndividual,autoPoints,dcPoints,egDronePointsIndividual,egNavPointsIndividual,egPoints,totalPointsNp
Operation T.A.C.,14295,47.4,33,12,20,5.4,5,42.4,13.6,8,20,28,73.80000000000001
Bot Bot,22740,30.4,44,4,12,4.4,5,25.4,28,12,16,28,60.4
WHS Robotics,542,38,33,12,4,4,3,23,19.4,2,4,6,33.85
Alpha Genesis,6436,61.2,50,12,16,6.2,5,39.2,42.4,10,20,30,79.8
Qualia Robotics,19900,36,20,12,12,4,4,32,47.8,0,13,13,56.95
Brain Stormz,10298,32.4,44,0,16,3.4,0,19.4,42.2,10,20,30,59.95
NerdHerd Insomniacs,51,48.6,40,4,20,4.6,5,33.6,31.4,12,12,24,65.45
VolTech,19510,19.6,8,0,4,5.6,4,13.6,12,0,5,5,21.6
RGB 359,14863,32.2,43,0,16,5.2,5,26.2,21,12,3,15,46.45
WEBB.exe,359,45.6,31,8,16,4.6,4,32.6,47.2,6,5,11,55.400000000000006
LeXT -- Pineapple Something,20824,26,30,12,4,5,5,26,42.6,6,13,19,55.65
Simi Valley Robotics,6282,48.6,38,8,20,3.6,4,35.6,13.6,10,16,26,65.0
Hermit Social LClub,12675,33,26,4,12,2,1,19,23.4,4,4,8,32.85
STEAMPunks Bravo,13277,15.6,11,0,0,2.6,1,3.6,6.8,2,4,6,11.299999999999999
Curiosity,11770,18.6,32,4,8,2.6,3,17.6,13.2,6,16,22,42.9
Javabots,5218,36,30,8,16,3,3,30,8.2,0,16,16,48.05
Rock N' Roll Robots,25,33.6,44,0,16,4.6,3,23.6,21.4,16,20,36,64.95
SaMoTech,21936,59,47,16,20,6,3,45,52.4,8,20,28,86.1
BeachBots,18253,47.8,45,12,16,4.8,5,37.8,64.8,16,17,33,87.0
Blueprints,7767,62.6,59,16,20,6.6,5,47.6,45.6,10,20,30,89.0
RoboKnights,4348,40.8,50,8,16,5.8,5,34.8,51.8,10,14,24,71.75
Beyond Robotics,21380,57.8,68,12,16,6.8,5,39.8,60.8,24,17,41,96.0
Inkineers,24433,44,55,4,16,9,5,34,66.4,12,20,32,82.6
Tekriot,16234,34,36,0,12,2,2,16,12.4,12,4,16,35.1
CyberDragons Buttercup,9887,45.2,41,12,16,6.2,5,39.2,44.6,10,16,26,76.35000000000001
Stratus,24079,38.6,42,8,16,3.6,5,32.6,22.4,12,20,32,70.19999999999999
Omega Squad,14996,55.6,70,16,20,5.6,5,46.6,41.2,16,20,36,92.89999999999999
Junior Knights,21325,43.6,30,16,12,5.6,5,38.6,34.8,8,20,28,75.3
aztec.exe,15091,77.8,59,12,20,8.8,4,44.8,44.6,10,17,27,82.95
Bread Pandas,21980,48.6,59,16,12,6.6,4,38.6,87.6,14,20,34,94.5
SMES Robotics,13303,28,12,8,4,6,5,23,19,2,4,6,33.75
RobTot,22030,47,37,8,16,5,4,33,35.6,6,13,19,60.9
Patriotic Robotics,6372,36,31,0,12,6,2,20,31.4,0,17,17,44.85
Iconic,21868,16.8,35,0,0,3.8,3,6.8,26.4,4,12,16,29.4
AlphaOmega,14921,48.6,28,12,16,4.6,4,36.6,28,0,13,13,56.6
Space Rocks,15303,40.6,40,8,12,3.6,4,27.6,29,0,20,20,54.85
The Order,24351,25.2,35,4,8,3.2,5,20.2,13.8,12,20,32,55.650000000000006
CyberDragons Westley,20799,43,31,8,16,5,4,33,41.4,0,20,20,63.35
NerdHerd 7^2,49,51.6,44,12,16,5.6,5,38.6,61.8,10,20,30,84.05
STEAMPunks Alpha,9040,12,10,0,0,1,0,1,6.4,0,3,3,5.6
Gear Gurus,7832,32.6,22,4,8,6.6,2,20.6,27.6,0,20,20,47.5
Chromium Robotics,9247,26,41,0,0,2,0,2,36,2,20,22,33.0
